{'eval_loss': 143.63833618164062, 'eval_wer': 1.0, 'eval_runtime': 110.0141, 'eval_samples_per_second': 15.271, 'eval_steps_per_second': 0.164, 'epoch': 0.82}
{'eval_loss': 136.9259490966797, 'eval_wer': 1.0, 'eval_runtime': 101.5882, 'eval_samples_per_second': 16.537, 'eval_steps_per_second': 0.177, 'epoch': 1.63}
{'eval_loss': 135.96438598632812, 'eval_wer': 1.0, 'eval_runtime': 115.601, 'eval_samples_per_second': 14.533, 'eval_steps_per_second': 0.156, 'epoch': 2.45}
{'eval_loss': 135.6304473876953, 'eval_wer': 1.0, 'eval_runtime': 120.5156, 'eval_samples_per_second': 13.94, 'eval_steps_per_second': 0.149, 'epoch': 3.27}
{'eval_loss': 135.025634765625, 'eval_wer': 1.0, 'eval_runtime': 113.2166, 'eval_samples_per_second': 14.839, 'eval_steps_per_second': 0.159, 'epoch': 4.08}
{'eval_loss': 133.570068359375, 'eval_wer': 1.0, 'eval_runtime': 113.7903, 'eval_samples_per_second': 14.764, 'eval_steps_per_second': 0.158, 'epoch': 4.9}
{'eval_loss': 133.70616149902344, 'eval_wer': 1.0, 'eval_runtime': 132.1369, 'eval_samples_per_second': 12.714, 'eval_steps_per_second': 0.136, 'epoch': 5.71}
{'eval_loss': 132.94395446777344, 'eval_wer': 1.0, 'eval_runtime': 121.6295, 'eval_samples_per_second': 13.812, 'eval_steps_per_second': 0.148, 'epoch': 6.53}
{'eval_loss': 132.73866271972656, 'eval_wer': 1.0, 'eval_runtime': 127.6637, 'eval_samples_per_second': 13.16, 'eval_steps_per_second': 0.141, 'epoch': 7.35}
{'eval_loss': 130.62225341796875, 'eval_wer': 1.0, 'eval_runtime': 134.5168, 'eval_samples_per_second': 12.489, 'eval_steps_per_second': 0.134, 'epoch': 8.16}
{'eval_loss': 122.21515655517578, 'eval_wer': 1.0, 'eval_runtime': 118.1193, 'eval_samples_per_second': 14.223, 'eval_steps_per_second': 0.152, 'epoch': 8.98}
{'eval_loss': 106.38766479492188, 'eval_wer': 1.0, 'eval_runtime': 119.8089, 'eval_samples_per_second': 14.022, 'eval_steps_per_second': 0.15, 'epoch': 9.8}
{'eval_loss': 79.31953430175781, 'eval_wer': 1.0028862012094557, 'eval_runtime': 128.0267, 'eval_samples_per_second': 13.122, 'eval_steps_per_second': 0.141, 'epoch': 10.61}
{'eval_loss': 56.401161193847656, 'eval_wer': 0.9536833424958768, 'eval_runtime': 127.0229, 'eval_samples_per_second': 13.226, 'eval_steps_per_second': 0.142, 'epoch': 11.43}
{'eval_loss': 46.49489212036133, 'eval_wer': 0.8163139087410666, 'eval_runtime': 104.3462, 'eval_samples_per_second': 16.1, 'eval_steps_per_second': 0.173, 'epoch': 12.24}
{'eval_loss': 38.24750900268555, 'eval_wer': 0.7383864760857614, 'eval_runtime': 105.1064, 'eval_samples_per_second': 15.984, 'eval_steps_per_second': 0.171, 'epoch': 13.06}
{'eval_loss': 34.600677490234375, 'eval_wer': 0.659084661902144, 'eval_runtime': 81.1772, 'eval_samples_per_second': 20.695, 'eval_steps_per_second': 0.222, 'epoch': 13.88}
{'eval_loss': 32.036895751953125, 'eval_wer': 0.6072017592083563, 'eval_runtime': 64.9119, 'eval_samples_per_second': 25.881, 'eval_steps_per_second': 0.277, 'epoch': 14.69}
{'eval_loss': 30.41471290588379, 'eval_wer': 0.5471412864211105, 'eval_runtime': 69.3762, 'eval_samples_per_second': 24.216, 'eval_steps_per_second': 0.259, 'epoch': 15.51}
{'eval_loss': 28.41073989868164, 'eval_wer': 0.5180043980208906, 'eval_runtime': 65.4111, 'eval_samples_per_second': 25.684, 'eval_steps_per_second': 0.275, 'epoch': 16.33}
